Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-03-13,6011.426046,7094.303546,7003.103574,6879.366028,8762.826433,6480.689191,5667.936459,6300.590272,5246.003002,6742.04415,3895.468374,7283.671055,2729.771839,2.858162389
2017-03-14,6376.783263,7114.413621,6550.934706,6589.848636,8701.277818,6438.377833,5623.005913,6247.004329,5245.892945,6738.948407,3880.466927,7221.761547,2641.157714,2.771633257
2017-03-15,6563.921118,7181.345006,5791.006366,5949.098106,9052.200511,6731.867867,5873.102286,6535.487879,5253.307414,6773.334645,3941.317891,7562.185779,2581.885459,2.76145079
2017-03-16,6542.927463,7183.970076,5799.147446,6533.507888,9052.683705,6672.388517,5822.386336,6477.532832,5268.707052,6844.372014,3930.198711,7493.153188,2599.5047,2.808590544
2017-03-17,6548.356897,7186.984171,6577.915438,7880.12399,8941.206898,6511.169297,5685.154229,6318.833968,5276.602769,6890.234,3901.152976,7306.76772,2674.542493,2.843310127
2017-03-18,6545.8827,7190.418314,6421.489392,7748.887726,9016.456318,6568.857469,5729.607552,6376.484873,5277.119243,6899.222937,3911.207464,7374.762433,2744.314991,2.802904274
2017-03-19,6545.731963,7218.021959,6003.600357,7363.110486,9190.614658,6655.371694,5842.836763,6478.803834,5277.957152,6901.567222,3936.828472,7547.224878,2822.125208,2.837278082
2017-03-20,6371.419174,7151.417446,5132.656384,6469.047473,9654.164994,7000.621587,6145.188194,6771.176053,5277.491255,6902.693762,4004.785777,7970.447833,2877.382624,2.873146488
2017-03-21,6197.502258,7020.536752,3274.125199,3986.214973,9785.637687,7171.566195,6230.826613,6911.114693,5277.280489,6897.182329,4024.042833,8096.184997,2899.886959,2.785082139
2017-03-22,6369.063685,7100.382612,2453.16218,2344.397165,9954.759035,7161.647247,6411.418088,6894.374978,5330.564442,6933.770788,4136.212993,8567.061461,2895.058964,2.797169122
2017-03-23,5625.477243,6580.624692,3624.936389,3962.329468,10050.91063,7327.303594,6591.997134,7114.857724,5437.790782,6982.357641,4266.672848,9767.067313,2901.912081,2.802564776
2017-03-24,4132.590552,5494.703112,4966.772902,6373.385681,9829.014449,7321.648208,6405.36563,7310.761259,5491.084372,6983.405329,4235.950545,10043.10126,2858.12366,2.750369841
2017-03-25,3339.181597,4881.993185,5330.946607,7311.850449,10106.57132,7348.580786,6225.801342,7299.194754,5489.248826,6984.61962,4176.755839,9828.703135,2843.795312,2.728666264
2017-03-26,3185.163885,4762.722351,5296.472655,7424.27819,10322.34017,7400.357958,6091.567958,7239.862287,5487.864475,6986.404857,4135.559884,9960.780216,2859.69273,2.781882449
2017-03-27,4018.719035,5401.574086,5237.608612,7302.640592,10359.97442,7389.414519,6148.48696,7254.638521,5485.85387,6979.770996,4149.542047,9582.487229,2824.078664,2.796981787
2017-03-28,5034.393984,6179.634789,3679.970954,4781.416334,10174.69525,7532.103706,6734.667812,7175.048749,5483.854691,6972.791529,4158.34755,8884.724242,2833.109105,2.779465667
2017-03-29,5374.565722,6438.801374,3010.856714,3430.216641,9615.85796,7533.697005,6822.847624,6646.920566,5487.611632,6972.418128,4109.605904,8427.902484,2845.912343,2.750026223
2017-03-30,6244.805057,6884.78123,4263.478285,5617.244278,9839.380212,7740.00676,6205.299016,6371.072005,5498.835578,6986.406222,4009.254228,8544.940519,2775.860298,2.731057846
2017-03-31,5251.27379,4412.678175,5042.70015,5714.077845,5205.962451,3949.730398,3529.374153,2798.809591,5298.076369,4444.139061,2131.03274,4654.057341,2369.437088,2.719581925
